57,29/09/2025,farbregister-karton-10tlg-a4,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
58,29/09/2025,farbregister-pappe-6-teilig,Farbregister Pappe 6-tlg. A4,Google Shopping / Google Product Category,,Business & Industrial > Office Supplies > Filing & Organization > Binding Supplies > Binder Accessories > Index Dividers,Mapped via google_taxonomy_map,info,4
59,29/09/2025,farbregister-pappe-6-teilig,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
59,29/09/2025,farbregister-pappe-6-teilig,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
60,29/09/2025,ringmappe-pastell-a4-2r-2-5-cm,"Ringmappe Pastell A4/2R/2,5 cm",Google Shopping / Google Product Category,,Business & Industrial > Office Supplies,Mapped via google_taxonomy_map,info,4
61,29/09/2025,ringmappe-pastell-a4-2r-2-5-cm,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
61,29/09/2025,ringmappe-pastell-a4-2r-2-5-cm,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
62,29/09/2025,ringmappe-pastell-a4-2r-2-5-cm,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
62,29/09/2025,ringmappe-pastell-a4-2r-2-5-cm,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
63,29/09/2025,ringmappe-pastell-a4-2r-2-5-cm,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
63,29/09/2025,ringmappe-pastell-a4-2r-2-5-cm,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
64,29/09/2025,ringmappe-pastell-a4-2r-2-5-cm,,Google Shopping / Google Product Category,,,Missing google category (no map entry for Product Category: ),warn,4
64,29/09/2025,ringmappe-pastell-a4-2r-2-5-cm,,Google Shopping / Google Product Category,,,Missing google category for product category: ,warn,4
